Date,Close
02-01-19,20.675
03-01-19,20.024
04-01-19,21.179
07-01-19,22.331
08-01-19,22.357
09-01-19,22.569
10-01-19,22.998
11-01-19,23.151
14-01-19,22.293
15-01-19,22.962
16-01-19,23.070
17-01-19,23.154
18-01-19,20.151
22-01-19,19.928
23-01-19,19.173
24-01-19,19.434
25-01-19,19.803
28-01-19,19.759
29-01-19,19.831
30-01-19,20.585
31-01-19,20.468
01-02-19,20.814
04-02-19,20.859
05-02-19,21.423
06-02-19,21.148
07-02-19,20.501
08-02-19,20.387
11-02-19,20.856
12-02-19,20.787
13-02-19,20.545
14-02-19,20.251
15-02-19,20.525
19-02-19,20.376
20-02-19,20.171
21-02-19,19.415
22-02-19,19.647
25-02-19,19.918
26-02-19,19.857
27-02-19,20.983
28-02-19,21.325
01-03-19,19.653
04-03-19,19.024
05-03-19,18.436
06-03-19,18.416
07-03-19,18.439
08-03-19,18.943
11-03-19,19.395
12-03-19,18.891
13-03-19,19.264
14-03-19,19.331
15-03-19,18.362
18-03-19,17.966
19-03-19,17.831
20-03-19,18.240
21-03-19,18.268
22-03-19,17.635
25-03-19,17.361
26-03-19,17.851
27-03-19,18.322
28-03-19,18.575
29-03-19,18.657
01-04-19,19.279
02-04-19,19.059
03-04-19,19.454
04-04-19,17.852
05-04-19,18.331
08-04-19,18.213
09-04-19,18.154
10-04-19,18.404
11-04-19,17.895
12-04-19,17.847
15-04-19,17.759
16-04-19,18.224
17-04-19,18.082
18-04-19,18.217
22-04-19,17.517
23-04-19,17.593
24-04-19,17.244
25-04-19,16.509
26-04-19,15.676
29-04-19,16.098
30-04-19,15.913
01-05-19,15.601
02-05-19,16.273
03-05-19,17.002
06-05-19,17.023
07-05-19,16.471
08-05-19,16.323
09-05-19,16.132
10-05-19,15.968
13-05-19,15.134
14-05-19,15.487
15-05-19,15.463
16-05-19,15.222
17-05-19,14.069
20-05-19,13.691
21-05-19,13.672
22-05-19,12.849
23-05-19,13.033
24-05-19,12.709
28-05-19,12.580
29-05-19,12.657
30-05-19,12.548
31-05-19,12.344
03-06-19,11.931
04-06-19,12.907
05-06-19,13.106
06-06-19,13.730
07-06-19,13.633
10-06-19,14.192
11-06-19,14.473
12-06-19,13.951
13-06-19,14.261
14-06-19,14.328
17-06-19,15.002
18-06-19,14.983
19-06-19,15.095
20-06-19,14.641
21-06-19,14.791
24-06-19,14.909
25-06-19,14.651
26-06-19,14.618
27-06-19,14.856
28-06-19,14.897
01-07-19,15.145
02-07-19,14.970
03-07-19,15.660
05-07-19,15.540
08-07-19,15.356
09-07-19,15.337
10-07-19,15.928
11-07-19,15.907
12-07-19,16.339
15-07-19,16.900
16-07-19,16.825
17-07-19,16.991
18-07-19,16.903
19-07-19,17.212
22-07-19,17.045
23-07-19,17.345
24-07-19,17.659
25-07-19,15.255
26-07-19,15.203
29-07-19,15.718
30-07-19,16.151
31-07-19,16.107
01-08-19,15.590
02-08-19,15.623
05-08-19,15.221
06-08-19,15.383
07-08-19,15.561
08-08-19,15.887
09-08-19,15.667
12-08-19,15.267
13-08-19,15.667
14-08-19,14.641
15-08-19,14.376
16-08-19,14.663
19-08-19,15.122
20-08-19,15.057
21-08-19,14.722
22-08-19,14.810
23-08-19,14.093
26-08-19,14.333
27-08-19,14.272
28-08-19,14.373
29-08-19,14.781
30-08-19,15.041
03-09-19,15.001
04-09-19,14.712
05-09-19,15.305
06-09-19,15.163
09-09-19,15.453
10-09-19,15.703
11-09-19,16.473
12-09-19,16.391
13-09-19,16.347
16-09-19,16.187
17-09-19,16.319
18-09-19,16.233
19-09-19,16.440
20-09-19,16.041
23-09-19,16.082
24-09-19,14.881
25-09-19,15.247
26-09-19,16.171
27-09-19,16.142
30-09-19,16.058
01-10-19,16.313
02-10-19,16.209
03-10-19,15.535
04-10-19,15.429
07-10-19,15.848
08-10-19,16.003
09-10-19,16.302
10-10-19,16.316
11-10-19,16.526
14-10-19,17.131
15-10-19,17.193
16-10-19,17.317
17-10-19,17.465
18-10-19,17.130
21-10-19,16.900
22-10-19,17.039
23-10-19,16.979
24-10-19,19.979
25-10-19,21.875
28-10-19,21.847
29-10-19,21.081
30-10-19,21.001
31-10-19,20.995
01-11-19,20.887
04-11-19,21.165
05-11-19,21.148
06-11-19,21.772
07-11-19,22.369
08-11-19,22.476
11-11-19,23.006
12-11-19,23.329
13-11-19,23.074
14-11-19,23.290
15-11-19,23.478
18-11-19,23.333
19-11-19,23.968
20-11-19,23.481
21-11-19,23.655
22-11-19,22.203
25-11-19,22.423
26-11-19,21.928
27-11-19,22.086
29-11-19,21.996
02-12-19,22.325
03-12-19,22.413
04-12-19,22.202
05-12-19,22.025
06-12-19,22.393
09-12-19,22.635
10-12-19,23.256
11-12-19,23.513
12-12-19,23.979
13-12-19,23.893
16-12-19,25.433
17-12-19,25.266
18-12-19,26.210
19-12-19,26.936
20-12-19,27.039
23-12-19,27.948
24-12-19,28.350
26-12-19,28.729
